1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,name
107.0,149.0,150.0,172.0,241.0,301.0,280.0,359.0,422.0,559.0,685.0,901.0,938.0,1062.0,1263.0,1573.0,1758.0,1897.0,2013.0,1921.0,1661.0,1546.0,1499.0,1537.0,1476.0,1387.0,1311.0,880.0,Keith Ross
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,19.0,23.0,22.0,37.0,52.0,51.0,72.0,53.0,50.0,Romain
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,47.0,90.0,127.0,163.0,135.0,Shuyang Ling
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,29.0,50.0,57.0,95.0,116.0,144.0,134.0,Enric Junque
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,54.0,105.0,163.0,166.0,Zhibin Chen
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,13.0,15.0,28.0,27.0,35.0,32.0,90.0,Gus Xia
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,59.0,71.0,75.0,61.0,56.0,51.0,57.0,Ratan Dey
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,3.0,8.0,4.0,1.0,5.0,3.0,0.0,Xianbin Gu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,32.0,43.0,93.0,98.0,90.0,Siyao Guo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,39.0,65.0,61.0,83.0,97.0,66.0,94.0,88.0,48.0,53.0,51.0,45.0,84.0,86.0,66.0,71.0,53.0,79.0,Oliver Marin
0.0,0.0,0.0,0.0,0.0,34.0,38.0,41.0,34.0,42.0,70.0,150.0,187.0,255.0,315.0,408.0,490.0,625.0,547.0,465.0,506.0,467.0,464.0,566.0,693.0,964.0,1139.0,919.0,Zheng Zhang
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,10.0,20.0,20.0,21.0,17.0,26.0,39.0,22.0,46.0,40.0,58.0,44.0,56.0,32.0,40.0,73.0,90.0,Bruno Abrahao
0.0,0.0,0.0,68.0,73.0,88.0,187.0,183.0,273.0,361.0,526.0,585.0,733.0,835.0,887.0,1043.0,1028.0,1098.0,1232.0,1277.0,1444.0,1611.0,1675.0,1691.0,1826.0,1966.0,1948.0,1703.0,Foster Provost
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,157.0,281.0,381.0,537.0,636.0,752.0,788.0,1009.0,972.0,1096.0,1108.0,1250.0,1377.0,1515.0,1293.0,1331.0,1369.0,1021.0,Yevgeniy Dodis
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,83.0,76.0,138.0,245.0,445.0,580.0,660.0,694.0,698.0,636.0,630.0,692.0,651.0,652.0,646.0,579.0,428.0,Yong Liu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,10.0,14.0,4.0,10.0,32.0,127.0,Anasse Bari
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,12.0,11.0,17.0,24.0,32.0,33.0,38.0,52.0,44.0,32.0,38.0,46.0,72.0,82.0,101.0,116.0,90.0,333.0,Megan Coffee
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,79.0,82.0,189.0,270.0,483.0,1725.0,3209.0,4574.0,5909.0,6750.0,Rafael M
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moraes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Doruk Kilitcioglu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,102.0,174.0,215.0,252.0,282.0,388.0,490.0,534.0,522.0,579.0,669.0,934.0,1108.0,1325.0,1673.0,2015.0,2290.0,2668.0,3247.0,Richard Bonneau
0.0,0.0,0.0,0.0,22.0,60.0,74.0,121.0,127.0,130.0,151.0,187.0,240.0,212.0,224.0,235.0,287.0,315.0,278.0,275.0,276.0,328.0,388.0,478.0,578.0,783.0,861.0,1138.0,Jonathan Nagler
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,44.0,47.0,79.0,122.0,152.0,183.0,234.0,212.0,273.0,276.0,267.0,295.0,270.0,343.0,347.0,351.0,380.0,446.0,523.0,Jane Skok
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,110.0,354.0,646.0,1255.0,2703.0,4468.0,5306.0,Joan Bruna
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,73.0,275.0,526.0,839.0,1032.0,979.0,Emily Denton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,1047.0,4038.0,7860.0,12963.0,17280.0,16669.0,Kyunghyun Cho
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,115.0,299.0,557.0,781.0,788.0,652.0,Sébastien Jean
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,60.0,78.0,166.0,390.0,734.0,1345.0,1595.0,1455.0,1272.0,908.0,Clement Farabet
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,99.0,129.0,157.0,215.0,267.0,241.0,227.0,194.0,211.0,177.0,145.0,Azza Abouzied
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,19.0,19.0,32.0,18.0,36.0,25.0,18.0,22.0,19.0,Maeda F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,6.0,6.0,Hanafi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,18.0,Miro Mannino
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,55.0,54.0,68.0,113.0,138.0,218.0,222.0,349.0,376.0,526.0,639.0,934.0,856.0,1104.0,1079.0,1193.0,1169.0,1009.0,Nizar Habash
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,21.0,65.0,70.0,97.0,0.0,Nasser Zalmout
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,53.0,67.0,94.0,Salam Khalifa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,Bashar Alhafni
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,25.0,39.0,89.0,92.0,118.0,114.0,176.0,174.0,187.0,216.0,212.0,258.0,275.0,320.0,Talal Rahwan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,15.0,39.0,44.0,Marcin Waniek
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,24.0,89.0,101.0,137.0,185.0,212.0,198.0,142.0,143.0,90.0,Yasir Zaki
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,14.0,15.0,20.0,28.0,20.0,Talal Ahmad
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,39.0,109.0,129.0,151.0,165.0,166.0,190.0,168.0,158.0,192.0,282.0,244.0,Christina Pöpper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Shujaat Mirza
